͋,0x34b
͌,0x34c
͍,0x34d
͎,0x34e
͐,0x350
͑,0x351
͒,0x352
͓,0x353
͔,0x354
͕,0x355
͖,0x356
͗,0x357
